Row,EKF_edeltas,PF_edeltas,EKF_ezsdot,PF_ezsdot,EKF_edeltat,PF_edeltat,EKF_ezudot,PF_ezudot
Min,-0.00672406550781885,-0.00189779229631053,-0.0424861020970021,-0.0314802685971296,-0.00295184801887301,-0.00281834281024125,-0.0641747161269663,-0.0611446996209565
Max,0.00325287334478595,0.00143582622448451,0.203401249841625,0.0325476136682147,0.00277986571998199,0.00295775637319241,0.118786732865145,0.0590813115537702
Peak-to-Peak,0.00997693885260479,0.00333361852079505,0.245887351938627,0.0640278822653443,0.005731713738855,0.00577609918343366,0.182961448992111,0.120226011174727
Mean,4.93799506186466e-05,4.8475206553418e-05,-0.00513795638802004,-0.00226315282123243,-3.00279470944433e-05,-1.5558584401901e-05,-0.00394267290476106,-0.000665663578706262
Variance,4.61420912872947e-07,3.66580591511466e-07,0.000144996977321811,0.000128788123312627,3.5808202484256e-07,3.58288504666519e-07,0.000457922494349132,0.000414581439872572
Std Dev,0.000679279701502222,0.000605458992427617,0.0120414690682579,0.0113484855074423,0.000598399552842881,0.000598572054698947,0.0213991236818037,0.0203612730415505
Median,6.38669264639053e-05,5.76632988167258e-05,-0.00578799154878406,-0.00285393727344202,-9.95818982506134e-06,-2.24035664148125e-07,-0.00384147187714996,-0.000735429481154903
RMS (Totale),0.000680733672182541,0.000607094904265163,0.0130862798778648,0.0115663877049419,0.00059885388714504,0.000598475265688581,0.0217487861489728,0.0203619837098449
RMS (Regime),0.000563385654746603,0.000596522463013992,0.00988756567649335,0.0116559346052724,0.000587265906685295,0.000588030576537212,0.0213370750246788,0.0198191761806539
Mean Square,4.63398332443127e-07,3.68564222784728e-07,0.00017125072104181,0.000133781324541031,3.58625978148725e-07,3.58172643641018e-07,0.000473009698953749,0.000414610380599988
